neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Senamiestis,255000,2869,3,88,3,3,1900,brick,gas,partial decoration
Pilaitė,79000,2405,1,32,6,6,2016,brick,central thermostat,fully equipped
Žirmūnai,132000,1941,3,68,2,2,1967,brick,central,fully equipped
Naujamiestis,157000,1805,3,87,3,3,2008,brick,central thermostat,fully equipped
Užupis,132000,4258,2,31,1,1,2020,brick,central,fully equipped
Pilaitė,68500,1296,2,52,6,6,1995,monolithic,central,fully equipped
Grigiškės,96000,1761,3,54,1,1,2004,NaN,central,NaN
Pašilaičiai,87000,2071,2,42,7,7,2006,block house,central thermostat,fully equipped
Senamiestis,270000,3913,3,69,3,3,2009,brick,central thermostat,fully equipped
Šnipiškės,31000,1343,2,23,1,1,1940,wooden house,NaN,NaN
Filaretai,110000,2208,2,49,5,5,1982,brick,central,fully equipped
Bajorai,74000,1709,1,43,5,5,2007,brick,central thermostat,fully equipped
Antakalnis,139000,2338,3,59,1,1,1911,wooden house,gas,fully equipped
Salininkai,47000,1019,2,46,3,3,1968,brick,central,fully equipped
Baltupiai,180000,3000,2,60,7,7,2008,brick,gas,fully equipped
Justiniškės,145000,1863,3,77,2,2,2014,brick,gas,fully equipped
Karoliniškės,91500,1430,3,64,5,5,1973,block house,central,fully equipped
Antakalnis,191000,2158,4,88,3,3,1998,brick,electric,fully equipped
Naujoji Vilnia,76900,1515,2,50,4,4,1985,brick,central,fully equipped
Pašilaičiai,37000,902,2,41,1,1,1987,block house,NaN,NaN
Salininkai,61900,1934,2,32,1,1,1972,NaN,central,NaN
Baltupiai,159000,1893,3,84,4,4,2002,brick,central,fully equipped
Žirmūnai,225000,3253,2,69,5,5,2005,brick,central,fully equipped
Pilaitė,120000,2326,2,51,8,8,2012,brick,central thermostat,fully equipped
Šeškinė,86800,1419,3,61,7,7,1980,block house,central,fully equipped
Senamiestis,129000,3573,2,36,1,1,1960,brick,central,fully equipped
Žvėrynas,141500,3326,2,42,3,3,2020,block house,central thermostat,fully equipped
Antakalnis,155000,3429,2,45,4,4,2018,brick,central thermostat,fully equipped
Šnipiškės,300000,2542,3,118,21,21,2004,brick,central,fully equipped
Senamiestis,250000,4032,2,62,2,2,2006,brick,central thermostat,fully equipped
Naujamiestis,90000,2727,2,33,3,3,1981,brick,gas,fully equipped
Senamiestis,252000,4000,2,63,2,2,1902,brick,electric,partial decoration
Senamiestis,93000,1958,2,47,2,2,1960,brick,electric, NaN
Senamiestis,340000,4198,3,81,5,5,2010,brick,central,fully equipped
Senamiestis,93000,3207,1,29,4,4,1969,brick,central,fully equipped
Senamiestis,135000,3113,2,43,3,3,1914,brick,central,fully equipped
Naujamiestis,118500,2057,3,57,3,3,1960,block house,central,fully equipped
Šiaurės miestelis,174596,2428,3,71,3,3,2004,brick,central thermostat,fully equipped
Senamiestis,269000,3843,3,70,1,1,1940,brick,gas,fully equipped
Pašilaičiai,114900,1582,2,72,4,4,2005,brick,central thermostat,fully equipped
Lazdynai,72990,1140,3,64,3,3,1971,block house,central,fully equipped
Senamiestis,113000,2756,2,41,1,1,1880,brick,gas,fully equipped
Senamiestis,265000,5000,2,53,1,1,1940,brick,central,fully equipped
Baltupiai,101200,1756,2,57,15,15,2006,block house,central,fully equipped
Užupis,259500,3127,3,83,1,1,2007,brick,central thermostat,fully equipped
Pilaitė,129000,2150,3,60,3,3,2013,brick,central thermostat,fully equipped
Justiniškės,95000,1170,4,81,4,4,1983,block house,central,fully equipped
Lazdynai,87000,1364,3,63,4,4,1971,block house,central,fully equipped
Naujamiestis,89000,1935,2,46,3,3,1961,block house,central,fully equipped
Pašilaičiai,72900,1585,2,46,8,8,2020,brick,central thermostat,partial decoration
Senamiestis,98750,2194,2,45,3,3,1961,brick,central,fully equipped
Antakalnis,96000,1768,3,54,1,1,1963,brick,central,fully equipped
Žemieji Paneriai,47000,1270,2,37,5,5,1987,brick,central,fully equipped
Senamiestis,345000,3450,3,100,3,3,2001,brick,gas,fully equipped
Senamiestis,270000,3168,4,85,3,3,1940,brick,gas,fully equipped
Pašilaičiai,85497,1474,1,58,5,5,2000,brick,gas,fully equipped
Lazdynai,161000,1917,3,84,2,2,2008,brick,central thermostat,fully equipped
Naujininkai,46000,1844,1,24,4,4,1965,brick,central thermostat,fully equipped
Žirmūnai,73000,2568,1,28,1,1,2015,monolithic,central thermostat,fully equipped
Justiniškės,82000,1640,3,50,2,2,1985,block house,central,fully equipped
Pašilaičiai,84900,1571,2,54,3,3,2021,brick,central thermostat,fully equipped
Justiniškės,74500,2129,1,35,1,1,2019,brick,central thermostat,fully equipped
Salininkai,41000,1444,1,28,2,2,1972,brick,central,fully equipped
Santariškės,147000,2262,3,65,1,1,2006,brick,central thermostat,fully equipped
Žirmūnai,118000,1770,3,66,5,5,1977,brick,central,fully equipped
Senamiestis,92000,2671,2,34,3,3,1940,brick,gas,fully equipped
Senamiestis,148000,2902,2,51,1,1,1882,brick,gas,fully equipped
Lazdynai,109000,1703,3,64,1,1,1976,brick,central,fully equipped
Naujamiestis,150000,3347,2,44,3,3,2016,brick,central thermostat,fully equipped
Karoliniškės,66000,2048,1,32,7,7,2015,brick,central thermostat,fully equipped
Naujamiestis,103500,1416,4,73,4,4,1968,brick,central,fully equipped
Naujoji Vilnia,43000,1215,1,35,2,2,1986,brick,central,fully equipped
Aukštieji Paneriai,64500,2580,2,25,5,5,2020,brick,electric,fully equipped
Baltupiai,109000,2868,2,38,2,2,2020,brick,gas,fully equipped
Žvėrynas,205000,3868,2,53,2,2,2008,brick,central thermostat,partial decoration
Pašilaičiai,40320,1078,1,37,2,2,1994,monolithic,central,fully equipped
Fabijoniškės,93000,1388,3,67,5,5,1992,block house,central,fully equipped
Antakalnis,45000,2500,1,18,5,5,1971,brick,central,fully equipped
Naujamiestis,20400,1133,1,18,5,5,1982,brick,central,fully equipped
Senamiestis,147000,3500,1,42,4,4,2008,brick,central thermostat,fully equipped
Antakalnis,255000,2452,3,104,12,12,2004,monolithic,central thermostat,fully equipped
Pašilaičiai,89900,1470,2,61,4,4,2006,brick,central thermostat,fully equipped
Naujininkai,16800,442,2,38,1,1,1945,wooden house,solid fuel,fully equipped
Naujamiestis,38000,2111,1,18,2,2,1976,brick,central,fully equipped
Antakalnis,149999,1939,4,77,8,8,1975,brick,central,fully equipped
Užupis,58000,1611,2,36,1,1,1940,wooden house,gas,partial decoration
Salininkai,46000,1238,1,37,4,4,1984,brick,central,fully equipped
Baltupiai,75900,2448,1,31,1,1,2019,block house,central thermostat,fully equipped
Senamiestis,330000,2647,4,124,2,2,1998,monolithic,electric,fully equipped
Pilaitė,102000,2170,2,47,1,1,2019,block house,central thermostat,fully equipped
Baltupiai,172000,2725,3,63,2,2,1983,brick,central thermostat,fully equipped
Naujininkai,45000,1125,2,40,1,1,1940,brick,central thermostat,fully equipped
Naujamiestis,89000,1561,3,57,2,2,1962,block house,central,fully equipped
Justiniškės,96000,1548,3,62,1,1,1986,block house,central,fully equipped
Pašilaičiai,125000,2004,3,62,5,5,2005,brick,central thermostat,fully equipped
Viršuliškės,70200,1428,2,49,9,9,1977,block house,central,fully equipped
Žvėrynas,149000,3498,2,42,1,1,2019,brick,central thermostat,fully equipped
Lazdynai,99900,1655,3,60,3,3,1970,block house,central,fully equipped
Šnipiškės,76000,2323,1,32,3,3,1976,block house,central,fully equipped
Pašilaičiai,83000,1729,2,48,5,5,2020,brick,central thermostat,fully equipped
Bajorai,84999,2237,2,38,1,1,2015,brick,central thermostat,fully equipped
Pašilaičiai,145000,1823,3,79,3,3,2002,NaN,gas,NaN
Šiaurės miestelis,122000,2294,2,53,2,2,2009,brick,central thermostat,fully equipped
Senamiestis,363000,2407,4,150,3,3,1997,brick,central,fully equipped
Valakampiai,312000,2631,3,118,3,3,2017,brick,gas,partial decoration
Antakalnis,129000,2389,3,54,2,2,1965,brick,central,fully equipped
Naujamiestis,320000,3404,3,94,3,3,1972,brick,central,fully equipped
Pašilaičiai,114000,2081,2,54,7,7,2008,brick,central thermostat,fully equipped
Baltupiai,32500,1806,1,18,8,8,1970,brick,central thermostat,fully equipped
Pašilaičiai,77800,1267,3,61,6,6,1987,block house,central,fully equipped
Naujamiestis,123800,2814,2,44,3,3,2020,brick,central,fully equipped
Antakalnis,320000,4384,3,73,1,1,2014,brick,central,fully equipped
Naujamiestis,43000,1955,1,22,3,3,1975,brick,central,fully equipped
Pilaitė,109000,1867,2,58,4,4,2005,NaN,central thermostat,NaN
Naujoji Vilnia,58500,2049,1,28,2,2,2018,brick,central thermostat,fully equipped
Naujamiestis,160920,3155,2,51,1,1,2019,block house,central thermostat,fully equipped
Bajorai,84999,2237,1,38,1,1,2015,brick,central thermostat,fully equipped
Antakalnis,61200,1974,2,31,3,3,1960,brick,central,fully equipped
Naujamiestis,73800,3270,1,22,1,1,2017,brick,central thermostat,fully equipped
Burbiškės,149000,2896,2,51,3,3,2020,brick,gas,fully equipped
Naujamiestis,232400,3804,3,61,5,5,2020,block house,central thermostat,partial decoration
Žvėrynas,235000,3543,3,66,3,3,2000,brick,electric,fully equipped
Šiaurės miestelis,139999,2652,2,52,6,6,2009,brick,central thermostat,fully equipped
Žirmūnai,56400,1954,1,28,5,5,1966,block house,central,fully equipped
Žemieji Paneriai,43900,896,2,49,0,0,2020,NaN,central,NaN
Senamiestis,154500,3312,2,46,4,4,2003,brick,central thermostat,not equipped
Pilaitė,205000,1847,5,111,6,6,2002,brick,central thermostat,fully equipped
Pašilaičiai,87000,1676,2,51,8,8,1988,monolithic,central,fully equipped
Senamiestis,158500,2882,3,55,3,3,1984,brick,central,fully equipped
Žvėrynas,120000,2400,3,50,4,4,1962,brick,central,fully equipped
Naujamiestis,120000,2262,2,53,2,2,1956,brick,central,not equipped
Šiaurės miestelis,199000,2648,3,75,4,4,2009,brick,central thermostat,fully equipped
Viršuliškės,86000,1337,3,64,2,2,1978,block house,central,fully equipped
Antakalnis,220000,2588,4,85,1,1,1892,log house,solid fuel,fully equipped
Naujamiestis,31500,1750,1,18,2,2,1970,brick,central,fully equipped
Karoliniškės,71450,1479,2,48,4,4,1973,block house,central,fully equipped
Žirmūnai,99000,1563,4,63,3,3,1969,block house,central,fully equipped
Naujamiestis,233000,3698,2,63,2,2,1890,brick,gas,fully equipped
Žvėrynas,299000,1948,4,153,2,2,1913,brick,gas,fully equipped
Senamiestis,289000,2893,4,99,2,2,1940,brick,gas,fully equipped
Pilaitė,87999,1004,4,87,5,5,1995,block house,central,fully equipped
Naujoji Vilnia,85000,1288,3,66,8,8,1977,brick,central,fully equipped
Pašilaičiai,75000,1502,2,49,7,7,1990,brick,central,not equipped
Žirmūnai,67000,1523,2,44,2,2,1967,block house,central,fully equipped
Naujamiestis,107000,1877,3,57,1,1,1961,block house,central,fully equipped
Naujininkai,61999,2043,1,30,4,4,1980,brick,central,fully equipped
Baltupiai,125000,2638,2,47,5,5,2015,brick,central thermostat,fully equipped
Verkiai,125000,2638,2,47,5,5,2015,brick,central thermostat,fully equipped
Lazdynai,54000,1636,1,33,5,5,1978,block house,central,fully equipped
Justiniškės,71000,1420,2,50,5,5,1987,block house,central,fully equipped
Naujoji Vilnia,89000,1265,4,70,2,2,1968,brick,central,fully equipped
Turniškės,187900,2610,3,72,2,2,1959,brick,NaN,NaN
Šnipiškės,199500,2631,2,75,11,11,2007,monolithic,central thermostat,fully equipped
Naujininkai,19100,1016,1,18,2,2,1964,brick,central,fully equipped
Antakalnis,239000,3274,3,73,1,1,2017,brick,central thermostat,fully equipped
Bajorai,99000,2060,2,48,1,1,2013,brick,central,fully equipped
Senamiestis,92000,2359,1,39,3,3,1985,brick,central,fully equipped
Pašilaičiai,74000,2114,1,35,8,8,1989,brick,central,fully equipped
Žirmūnai,71000,1479,2,48,2,2,1966,block house,central,fully equipped
Žemieji Paneriai,52500,1307,1,40,1,1,1986,block house,central,fully equipped
Žirmūnai,73000,1587,2,46,2,2,1964,block house,central,fully equipped
Šiaurės miestelis,73000,1587,2,46,2,2,1964,block house,central,fully equipped
Šnipiškės,73000,1587,2,46,2,2,1964,block house,central,fully equipped
Senamiestis,127860,1998,2,64,1,1,1940,brick,central,fully equipped
Senamiestis,180040,2813,2,64,2,2,1940,brick,central,fully equipped
Žvėrynas,899454,5144,5,174,3,3,1860,brick,central thermostat,partial decoration
Naujoji Vilnia,45000,1731,1,26,1,1,1969,brick,central,fully equipped
Naujamiestis,149000,1649,3,90,1,1,2020,brick,gas,partial decoration
Senamiestis,107000,3292,2,32,2,2,1940,brick,gas,fully equipped
Pašilaičiai,124000,1988,2,62,5,5,2005,brick,central thermostat,fully equipped
Žvėrynas,300000,3000,5,100,3,3,1935,brick,gas,fully equipped
Senamiestis,105000,3000,1,35,2,2,1940,brick,NaN,NaN
Senamiestis,495000,4500,3,110,6,6,2020,brick,central thermostat,partial decoration
Naujamiestis,522828,3600,4,145,2,2,2021,brick,central thermostat,partial decoration
Naujamiestis,403992,3600,4,112,2,2,2021,brick,central thermostat,partial decoration
Naujamiestis,169800,2644,2,64,3,3,2013,brick,central thermostat,fully equipped
Pašilaičiai,105000,1581,3,66,9,9,1986,block house,central,fully equipped
Žirmūnai,139000,1742,3,79,6,6,2012,brick,central thermostat,fully equipped
Žvėrynas,53000,2233,1,23,1,1,1940,wooden house,electric,fully equipped
Karoliniškės,69000,1438,2,48,5,5,1972,block house,central,not equipped
Senamiestis,132000,2625,2,50,2,2,1940,brick,central thermostat,partial decoration
Naujamiestis,169000,3018,3,56,4,4,1940,brick,gas,fully equipped
Liepkalnis,93000,1500,2,62,4,4,1975,brick,central,fully equipped
Fabijoniškės,85600,1390,3,61,6,6,1989,block house,central,fully equipped
Grigaičių k.,49000,700,3,70,1,1,1993,block house,central,fully equipped
Naujamiestis,79999,2000,2,40,1,1,1940,brick,gas,fully equipped
Žvėrynas,189999,2262,4,84,2,2,1940,wooden house,gas,partial decoration
Šiaurės miestelis,168000,2210,3,76,1,1,2005,brick,central thermostat,fully equipped
Rasos,67900,2612,1,26,1,1,1940,brick,gas,fully equipped
Naujininkai,29500,1639,1,18,5,5,1970,brick,central,fully equipped
Naujoji Vilnia,68000,1122,3,60,2,2,1968,block house,central,fully equipped
Grigiškės,43800,1134,2,38,5,5,1983,brick,central,fully equipped
Senamiestis,171000,2732,3,62,2,2,1940,brick,central thermostat,partial decoration
Žirmūnai,79000,1787,2,44,2,2,1965,block house,central,fully equipped
Užupis,229000,2855,3,80,2,2,2019,monolithic,central thermostat,partial decoration
Antakalnis,145000,2362,2,61,2,2,2007,brick,central thermostat,fully equipped
Justiniškės,100000,1370,4,73,3,3,2021,brick,central thermostat,partial decoration
Justiniškės,110000,1183,3,93,7,7,2021,brick,central thermostat,partial decoration
Naujininkai,110700,2010,3,55,1,1,2021,brick,central,partial decoration
Karoliniškės,49776,1309,2,38,3,3,1974,brick,central thermostat,partial decoration
Naujamiestis,41000,2142,1,19,3,3,1963,brick,central,fully equipped
Šeškinė,138000,3286,2,42,6,6,2020,brick,central thermostat,fully equipped
Šeškinė,289000,2239,4,129,14,14,2005,brick,central thermostat,fully equipped
Naujoji Vilnia,34500,1500,1,23,1,1,2020,brick,aerothermal,fully equipped
Senamiestis,397000,2776,7,143,1,1,1940,brick,central,fully equipped
Naujamiestis,109000,1410,4,77,5,5,1977,brick,central,fully equipped
Senamiestis,260000,1156,7,225,0,0,1958,block house,electric,fully equipped
Šiaurės miestelis,126000,2172,2,58,6,6,2004,brick,central thermostat,fully equipped
Fabijoniškės,104900,1543,3,68,1,1,1988,block house,central,fully equipped
Žirmūnai,75000,1563,2,48,2,2,1967,block house,central,fully equipped
Grigiškės,58500,1581,2,37,2,2,1955,brick,central thermostat,fully equipped
Santariškės,219000,2589,4,84,2,2,2015,brick,geothermal,fully equipped
Žirmūnai,109000,1573,3,69,8,8,1976,block house,central,fully equipped
Antakalnis,109000,2194,3,49,3,3,2020,brick,gas,partial decoration
Senamiestis,120000,3511,2,34,1,1,1918,brick,central,fully equipped
Viršuliškės,59000,1475,2,40,4,4,2020,block house,aerothermal,partial decoration
Verkiai,225000,1897,4,118,3,3,2007,brick,central thermostat,fully equipped
Šnipiškės,92000,1460,3,63,1,1,1968,block house,central,fully equipped
Žirmūnai,98200,1977,2,49,3,3,2021,brick,central thermostat,partial decoration
Baltupiai,90000,1882,2,47,5,5,2004,monolithic,central thermostat,fully equipped
Verkiai,148250,2052,3,72,2,2,2021,brick,central thermostat,partial decoration
Fabijoniškės,90000,1882,2,47,5,5,2004,monolithic,central thermostat,fully equipped
Verkiai,112200,1964,3,57,2,2,2021,brick,central thermostat,partial decoration
Žirmūnai,93200,1954,2,47,2,2,2021,brick,central thermostat,partial decoration
Jeruzalė,135000,1537,4,87,6,6,1995,brick,central,fully equipped
Antakalnis,149500,1793,4,83,2,2,2020,brick,central thermostat,partial decoration
Burbiškės,225000,2045,3,110,3,3,2014,brick,gas,fully equipped
Kalnėnai,100000,1479,3,67,2,2,2020,brick,gas,partial decoration
Kalnėnai,90000,1530,2,58,1,1,2020,brick,gas,partial decoration
Naujamiestis,410000,2733,5,150,5,5,1981,brick,gas,fully equipped
Naujamiestis,340000,2267,5,150,5,5,1981,brick,gas,partial decoration
Pilaitė,87000,1403,3,62,3,3,1991,block house,central,fully equipped
Justiniškės,95000,1885,3,50,2,2,2021,brick,central thermostat,partial decoration
Žirmūnai,122000,2696,2,45,2,2,2017,brick,central thermostat,fully equipped
Pašilaičiai,208000,1944,3,107,1,1,1994,brick,central,fully equipped
Naujamiestis,590000,4403,3,134,14,14,2007,brick,central thermostat,fully equipped
Užupis,89000,2307,1,38,1,1,2019,monolithic,central thermostat,fully equipped
Pašilaičiai,67200,1792,1,37,1,1,1989,monolithic,central,fully equipped
Visoriai,122000,2272,2,53,2,2,2019,monolithic,central thermostat,fully equipped
Lazdynai,75000,1527,2,49,4,4,1970,block house,central,fully equipped
Lazdynai,165000,1986,4,83,3,3,2007,brick,central thermostat,fully equipped
Jeruzalė,196000,1354,4,144,1,1,1996,brick,central thermostat,fully equipped
Jeruzalė,197500,1374,4,143,3,3,1996,brick,central thermostat,fully equipped
Šnipiškės,67000,1914,1,35,2,2,1980,block house,central,fully equipped
Žvėrynas,420000,3256,5,129,6,6,1993,brick,central,fully equipped
Senamiestis,267570,4460,2,60,2,2,2020,brick,central thermostat,partial decoration
Naujamiestis,159000,2386,3,66,2,2,1940,brick,gas,fully equipped
Naujoji Vilnia,70000,1054,3,66,5,5,1971,brick,central,fully equipped
Karoliniškės,95000,1484,3,64,3,3,2017,block house,central thermostat,fully equipped
Žvėrynas,165000,3511,2,47,3,3,2000,brick,electric,fully equipped
Senamiestis,450000,2028,5,221,2,2,1998,brick,gas,fully equipped
Justiniškės,72000,1421,2,50,1,1,1988,monolithic,central,fully equipped
Fabijoniškės,83000,1239,3,67,5,5,1975,block house,central,fully equipped
Pašilaičiai,299992,1304,5,230,2,2,1999,brick,aerothermal,fully equipped
Senamiestis,477450,4504,3,106,2,2,2020,brick,central thermostat,partial decoration
Žemieji Paneriai,66000,1630,2,40,4,4,2020,brick,electric,fully equipped
Senamiestis,215000,4574,2,47,4,4,2020,brick,central thermostat,partial decoration
Antakalnis,171000,1267,4,134,1,1,2015,brick,gas,fully equipped
Pilaitė,107000,2317,2,46,9,9,2017,monolithic,central,fully equipped
Karoliniškės,88900,1389,3,64,8,8,1972,block house,central,fully equipped
Senamiestis,135000,4112,1,32,1,1,2019,brick,central thermostat,fully equipped
Šnipiškės,83500,1877,2,44,4,4,1963,block house,central,fully equipped
Naujininkai,142500,2218,3,64,5,5,2020,NaN,central thermostat,NaN
Naujamiestis,279900,2659,4,105,2,2,1972,brick,central,fully equipped
Šnipiškės,219000,3129,3,70,4,4,2017,brick,central thermostat,fully equipped
Žirmūnai,103000,1615,3,63,5,5,1976,block house,central,fully equipped
Užupis,120000,3158,2,38,3,3,2020,block house,central,fully equipped
Naujamiestis,150000,2562,3,58,7,7,2016,block house,central thermostat,fully equipped
Lazdynai,54000,1636,1,33,5,5,1974,block house,central,fully equipped
Justiniškės,88000,1415,3,62,4,4,2021,brick,central thermostat,partial decoration
Justiniškės,87000,1403,3,62,4,4,2021,brick,central thermostat,partial decoration
Grigiškės,69800,974,4,71,1,1,1978,brick,central,NaN
Pašilaičiai,99300,1712,2,58,3,3,2004,brick,central thermostat,fully equipped
Fabijoniškės,99300,1712,2,58,3,3,2004,brick,central thermostat,fully equipped
Pašilaičiai,75000,1940,2,38,8,8,2007,brick,central thermostat,fully equipped
Pašilaičiai,75000,1940,1,38,8,8,2007,brick,central thermostat,fully equipped
Pašilaičiai,75000,1940,1,38,8,8,2007,brick,central thermostat,fully equipped
Antakalnis,95300,2198,2,43,5,5,1965,brick,central,fully equipped
Paupys,260000,4643,2,56,2,2,2020,brick,central thermostat,fully equipped
Užupis,122200,3819,2,32,4,4,2020,brick,central thermostat,partial decoration
Šnipiškės,194900,2677,3,72,4,4,2009,brick,central thermostat,fully equipped
Senamiestis,292000,3561,3,82,3,3,2020,brick,central thermostat,partial decoration
Lazdynėliai,92500,2020,2,45,3,3,2021,brick,central thermostat,partial decoration
Lazdynėliai,109900,1963,3,56,1,1,2021,brick,central thermostat,partial decoration
Senamiestis,298500,3392,3,88,3,3,1910,brick,central,fully equipped
Senamiestis,298500,3354,3,89,3,3,1910,brick,central,fully equipped
Senamiestis,298500,3392,3,88,3,3,1940,brick,central,fully equipped
Senamiestis,298500,3392,3,88,3,3,1940,brick,central,fully equipped
Senamiestis,298500,3392,3,88,3,3,1940,brick,central,fully equipped
Lazdynėliai,159900,2161,3,74,2,2,2020,brick,central thermostat,fully equipped
Lazdynėliai,159900,2161,4,74,2,2,2020,brick,central thermostat,fully equipped
Užupis,219000,3673,3,59,4,4,2020,brick,central thermostat,fully equipped
Antakalnis,219000,3673,3,59,4,4,2020,brick,central thermostat,fully equipped
Justiniškės,72000,1581,2,45,1,1,2021,brick,central thermostat,partial decoration
Pilaitė,85000,1214,3,70,6,6,1992,block house,central,fully equipped
Naujininkai,85000,1269,3,67,2,2,1978,block house,central,fully equipped
Pilaitė,138990,2194,3,63,2,2,2021,brick,gas,fully equipped
Justiniškės,89000,1745,3,51,2,2,1987,block house,central,fully equipped
Justiniškės,83000,1339,3,62,1,1,1984,block house,central,fully equipped
Karoliniškės,54990,1666,1,33,5,5,1974,block house,central,not equipped
Grigiškės,88900,1207,4,73,2,2,1977,block house,central,fully equipped
Žvėrynas,75000,2648,1,28,5,5,1966,brick,central,fully equipped
Naujamiestis,110000,2895,2,38,1,1,1993,brick,central,fully equipped
Senamiestis,318000,4543,3,70,3,3,2009,brick,central,fully equipped
Senamiestis,318000,4543,3,70,3,3,2009,brick,central,fully equipped
Senamiestis,318000,4543,3,70,3,3,2009,brick,central,fully equipped
Fabijoniškės,109900,2829,2,38,2,2,2019,brick,central thermostat,fully equipped
Visoriai,109900,2818,2,39,2,2,2019,brick,central thermostat,fully equipped
Lazdynai,68900,1472,2,46,5,5,1970,block house,central,fully equipped
Šnipiškės,215000,2590,3,83,5,5,2004,monolithic,central thermostat,fully equipped
Naujininkai,46500,1609,1,28,4,4,1969,brick,central,fully equipped
Užupis,245000,3715,3,65,3,3,2020,brick,central,fully equipped
Antakalnis,245000,3715,3,65,3,3,2020,brick,central,fully equipped
Senamiestis,132000,2444,3,54,2,2,1965,brick,central,fully equipped
Karoliniškės,52000,1576,1,33,2,2,1979,block house,central,fully equipped
Užupis,29500,1735,1,17,2,2,1948,brick,central,fully equipped
Šnipiškės,48300,2273,1,21,6,6,1983,brick,central,fully equipped
Šnipiškės,47800,2249,1,21,6,6,1983,brick,central,fully equipped
Senamiestis,105900,3922,2,27,1,1,2020,brick,central thermostat,fully equipped
Naujamiestis,68000,1982,1,34,2,2,1988,brick,central,fully equipped
Šnipiškės,45000,549,2,82,1,1,1940,brick,central,fully equipped
Naujamiestis,94000,1859,3,50,4,4,2007,brick,gas,fully equipped
Šnipiškės,155000,2500,2,62,8,8,2004,monolithic,central thermostat,fully equipped
Naujininkai,98846,1950,3,50,3,3,2021,brick,geothermal,partial decoration
Antavilis,78500,516,4,152,2,2,1992,brick,solid fuel,fully equipped
Senamiestis,270000,2775,3,97,4,4,1981,brick,central thermostat,fully equipped
Naujamiestis,270000,2775,3,97,4,4,1981,brick,central thermostat,fully equipped
Balsiai,140000,1500,4,93,1,1,2018,brick,gas,fully equipped
Pilaitė,97000,1850,2,52,5,5,2021,brick,central thermostat,partial decoration
Justiniškės,100000,1379,4,72,2,2,2021,brick,central thermostat,partial decoration
Justiniškės,100000,1370,4,73,2,2,2021,brick,central thermostat,partial decoration
Justiniškės,101000,1319,4,76,7,7,2021,brick,central thermostat,partial decoration
Justiniškės,101000,1319,4,76,4,4,2021,brick,central thermostat,partial decoration
Senamiestis,225000,3988,3,56,2,2,1690,brick,gas,partial decoration
Fabijoniškės,88000,1313,3,67,9,9,1992,block house,central,fully equipped
Naujininkai,57000,1390,2,41,2,2,1968,brick,central,fully equipped
Justiniškės,139000,1816,4,76,6,6,2021,brick,central thermostat,fully equipped
Senamiestis,177000,3454,3,51,1,1,1914,brick,NaN,NaN
Žvėrynas,114500,3066,2,37,6,6,2019,brick,central thermostat,fully equipped
Šeškinė,114500,3066,2,37,6,6,2019,brick,central thermostat,fully equipped
Žemieji Paneriai,56000,1102,2,50,2,2,1957,brick,central,fully equipped
Karoliniškės,57900,2100,1,27,4,4,2021,brick,central thermostat,partial decoration
Senamiestis,358000,4212,3,85,6,6,2006,brick,central thermostat,fully equipped
Santariškės,113900,1920,2,59,7,7,2008,brick,central thermostat,fully equipped
Bajorai,113900,1920,2,59,7,7,2008,brick,central thermostat,fully equipped
Visoriai,113900,1920,2,59,7,7,2008,brick,central thermostat,fully equipped
Viršuliškės,109300,1925,3,56,2,2,2021,brick,central thermostat,partial decoration
Karoliniškės,109600,1926,2,56,2,2,2022,brick,central thermostat,partial decoration
Viršuliškės,109600,1926,3,56,2,2,2022,brick,central thermostat,partial decoration
Naujamiestis,195000,1931,3,101,1,1,2019,brick,gas,fully equipped
Senamiestis,162000,2793,2,58,2,2,2017,brick,central thermostat,fully equipped
Senamiestis,113000,2756,2,41,2,2,1904,brick,gas,fully equipped
Karoliniškės,80300,1948,2,41,2,2,2021,brick,central thermostat,partial decoration
Šnipiškės,132000,2129,3,62,3,3,2015,brick,central thermostat,fully equipped
Užupis,200000,3922,2,51,1,1,1940,brick,gas,fully equipped
Senamiestis,230000,2911,2,79,1,1,1940,brick,electric,fully equipped
Šnipiškės,57000,2028,2,28,8,8,1990,brick,central,partial decoration
Šnipiškės,56000,2063,2,27,8,8,1990,brick,central,partial decoration
Šnipiškės,58000,2023,2,28,8,8,1990,brick,central,partial decoration
Valakampiai,118000,3450,2,34,1,1,2005,brick,central thermostat,fully equipped
Naujininkai,100000,1613,3,62,1,1,2021,brick,geothermal,partial decoration
Antakalnis,195000,2886,2,67,5,5,2016,brick,central thermostat,fully equipped
Šeškinė,379000,2354,4,161,1,1,2020,brick,aerothermal,fully equipped
Senamiestis,245000,3535,3,69,4,4,2008,brick,central thermostat,fully equipped
Naujamiestis,103000,2452,2,42,4,4,1963,brick,central,fully equipped
Naujamiestis,103000,2452,2,42,4,4,1963,brick,central,fully equipped
Senamiestis,103000,2452,2,42,4,4,1963,brick,central,fully equipped
Naujamiestis,210000,3088,2,68,6,6,2007,brick,central thermostat,fully equipped
Pašilaičiai,127000,1366,3,93,6,6,1998,brick,electric,fully equipped
Pašilaičiai,127000,1366,3,93,6,6,1998,brick,electric,fully equipped
Kalnėnai,126900,1813,3,70,2,2,2015,brick,gas,fully equipped
Pavilnys,126900,1813,3,70,2,2,2015,brick,gas,fully equipped
