neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Viršuliškės,87200,2079,2,41,16,16,2021,block house,central thermostat,partial decoration
Viršuliškės,58600,2266,1,25,2,2,2021,block house,central thermostat,partial decoration
Santariškės,75400,1789,2,42,2,2,2021,brick,central thermostat,partial decoration
Viršuliškės,79000,2012,2,39,5,5,2021,block house,central thermostat,partial decoration
Viršuliškės,128000,1715,4,74,2,2,2021,brick,central thermostat,partial decoration
Viršuliškės,104000,1980,3,52,11,11,2021,brick,central thermostat,partial decoration
Bajorai,109200,1571,4,69,2,2,2020,brick,central thermostat,partial decoration
Bajorai,102000,1704,3,59,2,2,2020,brick,central thermostat,partial decoration
Bajorai,86000,1804,2,47,1,1,2020,brick,central thermostat,partial decoration
Lazdynėliai,108470,1200,5,90,1,1,2020,brick,central,partial decoration
Šnipiškės,141890,2392,3,59,3,3,2021,brick,central thermostat,partial decoration
Šnipiškės,76945,2361,1,32,2,2,2021,brick,central thermostat,partial decoration
Naujininkai,34700,1425,1,24,5,5,1970,block house,central,fully equipped
Viršuliškės,75000,1885,2,39,4,4,2020,block house,aerothermal,fully equipped
Naujamiestis,69900,2330,1,30,6,6,1965,block house,central,fully equipped
Justiniškės,69599,1633,2,42,2,2,2021,brick,gas,partial decoration
Justiniškės,51490,1609,1,32,2,2,2021,brick,gas,partial decoration
Naujamiestis,131200,2865,2,45,2,2,2022,brick,central thermostat,partial decoration
Naujamiestis,188300,3150,3,59,5,5,2022,brick,central thermostat,partial decoration
Naujamiestis,154900,2993,3,51,2,2,2022,brick,central thermostat,partial decoration
Naujamiestis,107400,3026,2,35,2,2,2022,brick,central thermostat,partial decoration
Senamiestis,239000,3321,3,71,4,4,1959,brick,central,fully equipped
Naujamiestis,79800,1967,2,40,1,1,1961,brick,central,fully equipped
Rasos,139000,1669,3,83,2,2,1998,brick,central thermostat,fully equipped
Senamiestis,400000,3150,3,127,3,3,2004,brick,central thermostat,fully equipped
Naujamiestis,98000,1960,2,50,0,0,1959,brick,electric,fully equipped
Senamiestis,259000,4785,2,54,3,3,2015,brick,central thermostat,fully equipped
Justiniškės,91000,1369,3,66,1,1,2021,brick,central thermostat,partial decoration
Šnipiškės,146000,2393,2,61,6,6,2006,brick,central thermostat,fully equipped
Karoliniškės,98000,2130,2,46,6,6,2016,brick,central thermostat,fully equipped
Žirmūnai,152000,2695,3,56,4,4,2001,monolithic,gas,fully equipped
Justiniškės,107118,1650,3,64,1,1,2020,brick,central thermostat,partial decoration
Senamiestis,270000,2842,4,95,5,5,1968,brick,central,fully equipped
Žirmūnai,95000,2209,2,43,1,1,2013,block house,gas,fully equipped
Žirmūnai,55000,1667,1,33,5,5,1968,block house,central,fully equipped
Pilaitė,132000,2606,2,50,1,1,2020,brick,gas,fully equipped
Žemieji Paneriai,47000,1004,2,46,2,2,2019,NaN,electric,NaN
Senamiestis,270000,2794,4,96,4,4,2011,block house,central thermostat,fully equipped
Grigiškės,92800,1193,4,77,4,4,1978,block house,central,fully equipped
Kalnėnai,119900,1873,3,64,2,2,2021,brick,gas,fully equipped
Šeškinė,87400,2300,2,38,4,4,2021,brick,gas,partial decoration
Šnipiškės,95000,1599,3,59,8,8,1990,brick,central,partial decoration
Pašilaičiai,121900,2082,3,58,3,3,2020,brick,central thermostat,fully equipped
Markučiai,114900,2128,2,54,4,4,2019,brick,central thermostat,partial decoration
Justiniškės,109900,1998,2,55,6,6,2018,monolithic,central thermostat,fully equipped
Naujamiestis,87000,1261,3,69,4,4,1976,monolithic,central,fully equipped
Naujamiestis,238227,3300,4,72,6,6,2021,monolithic,central thermostat,partial decoration
Naujamiestis,197075,2591,4,76,2,2,2021,monolithic,central thermostat,partial decoration
Šiaurės miestelis,152000,2695,3,56,4,4,2001,monolithic,gas,fully equipped
Pilaitė,105599,2089,2,50,1,1,2020,monolithic,central thermostat,fully equipped
Bajorai,113900,1920,2,59,7,7,2008,brick,central thermostat,fully equipped
Bajorai,90000,2042,1,44,1,1,2019,brick,gas,partial decoration
Salininkai,53000,1429,2,37,3,3,1984,brick,central,fully equipped
Žvėrynas,299500,1198,5,250,3,3,1998,brick,central,fully equipped
Antakalnis,129700,1738,3,74,3,3,1967,monolithic,NaN,NaN
Naujininkai,77500,2021,2,38,2,2,2021,brick,central thermostat,partial decoration
Lazdynai,100000,1282,4,78,4,4,1970,block house,central,fully equipped
Šiaurės miestelis,156000,2194,3,71,2,2,2006,brick,central thermostat,fully equipped
Naujoji Vilnia,38850,1850,1,21,3,3,1981,block house,electric,fully equipped
Lazdynai,88500,1383,3,64,2,2,1970,block house,central,fully equipped
